id,nombre,email,telefono,experiencia_anos,nivel,fecha_postulacion,estado,puntuacion
1,María García,maría.garcía375@outlook.com,+573163705093,9.0,junior,2025-12-08,rechazado,62
2,María García,maría.garcía525@gmail.com,+573135782263,3.0,mid-level,2026-02-08,oferta,6
3,Luis Rodríguez,luis.rodríguez325@outlook.com,+573170697064,12.0,mid-level,2025-07-21,en_revision,63
4,Isabel Ruiz,isabel.ruiz664@outlook.com,+573175733951,12.0,mid-level,2025-09-11,entrevista,15
5,Miguel Torres,miguel.torres269@outlook.com,+573036207931,4.0,junior,2025-11-16,PENDIENTE_REVISAR,45
6,Pedro Sánchez,pedro.sánchez410@hotmail.com,+573194200795,7.0,mid-level,2025-09-07,aceptado,29
7,Luis Rodríguez,luis.rodríguez457@gmail.com,+573199051297,4.0,junior,2025-10-16,entrevista,75
8,Miguel Torres,miguel.torres406@yahoo.com,+573122823390,6.0,senior,2025-12-05,entrevista,71
9,Pedro Sánchez,pedro.sánchez669@example.com,+573133173866,16.0,junior,2025-12-11,entrevista,36
10,Isabel Ruiz,isabel.ruiz670@gmail.com,+573055635554,11.0,junior,2025-11-12,en_revision,30
11,Pedro Sánchez,pedro.sánchez746@hotmail.com,+573047608356,0.0,junior,2026-03-09,entrevista,92
12,Isabel Ruiz,isabel.ruiz512@outlook.com,+573047659225,8.0,junior,2025-12-23,oferta,15
13,Luis Rodríguez,luis.rodríguez942@yahoo.com,+573035411547,13.0,senior,2025-05-25,oferta,1
14,Miguel Torres,miguel.torres942@hotmail.com,+573097498620,1.0,junior,2025-09-14,entrevista,53
15,Carlos López,carlos.lópez415@yahoo.com,INVALIDO,5.0,mid-level,2025-09-26,en_revision,19
16,Pedro Sánchez,pedro.sánchez508@example.com,+573172779399,,junior,2025-08-06,rechazado,21
17,Carlos López,carlos.lópez720@hotmail.com,+573107815431,16.0,senior,2025-07-27,oferta,27
18,Carlos López,carlos.lópez583@outlook.com,+573080658810,1.0,entry-level,2025-06-11,aceptado,91
19,Miguel Torres,miguel.torres278@example.com,+573057060729,19.0,junior,2025-07-23,oferta,39
20,Juan Pérez,juan.pérez659@outlook.com,+573108195819,16.0,junior,2025-11-08,aceptado,36
21,Miguel Torres,miguel.torres197@gmail.com,+573115630498,12.0,mid-level,2025-08-05,aceptado,52
22,Carlos López,carlos.lópez719@outlook.com,+573186194128,18.0,mid-level,2025-09-24,en_revision,11
23,Carlos López,carlos.lópez768@gmail.com,+573105965846,9.0,junior,2026-05-01,oferta,17
24,Ana Martínez,ana.martínez995@hotmail.com,+573034353286,12.0,mid-level,2025-12-28,en_revision,58
25,Carlos López,carlos.lópez635@gmail.com,INVALIDO,1.0,mid-level,2025-05-18,entrevista,43
26,María García,maría.garcía726@yahoo.com,+573183884852,1.0,senior,2026-03-22,en_revision,71
27,Pedro Sánchez,pedro.sánchez657@outlook.com,+573060347338,,entry-level,2026-05-07,entrevista,62
28,Miguel Torres,miguel.torres212@hotmail.com,+573120257861,9.0,senior,2026-04-22,aceptado,68
29,Pedro Sánchez,pedro.sánchez103@outlook.com,+573090885880,5.0,junior,2025-12-08,en_revision,42
30,María García,maría.garcía120@yahoo.com,+573020993219,19.0,senior,2025-12-16,oferta,48
31,Lucía Díaz,lucía.díaz359@yahoo.com,+573121809001,12.0,mid-level,2025-08-28,en_revision,12
32,Carlos López,carlos.lópez874@outlook.com,+573196886643,1.0,junior,2025-06-09,rechazado,49
33,Sofía Fernández,sofía.fernández965@example.com,+573036339571,14.0,junior,2026-02-20,rechazado,90
34,Luis Rodríguez,luis.rodríguez304@example.com,+573087968764,20.0,junior,2025-09-22,rechazado,39
35,Luis Rodríguez,luis.rodríguez161@gmail.com,+573086385143,18.0,mid-level,2025-10-23,oferta,26
36,Lucía Díaz,lucía.díaz671@yahoo.com,+573128667919,13.0,mid-level,2025-06-13,entrevista,85
37,Pedro Sánchez,pedro.sánchez917@yahoo.com,+573038843569,14.0,mid-level,2025-07-02,en_revision,15
38,Isabel Ruiz,,+573085648968,12.0,entry-level,2025-09-05,en_revision,4
