id,nombre,email,telefono,experiencia_anos,nivel,fecha_postulacion,estado,puntuacion
1,Ana Martínez,ana.martínez947@example.com,+573118741924,18.0,junior,2025-12-31,rechazado,54.0
2,Miguel Torres,miguel.torres577@outlook.com,+573095576754,4.0,mid-level,2025-12-01,entrevista,13.0
3,Lucía Díaz,lucía.díaz526@outlook.com,+573109129011,12.0,entry-level,2026-05-22,en_revision,1.0
5,Ana Martínez,ana.martínez532@outlook.com,+573049895025,9.0,entry-level,2026-01-20,aceptado,18.0
6,Sofía Fernández,sofía.fernández631@hotmail.com,+573044677786,19.0,senior,2025-12-03,rechazado,89.0
7,María García,maría.garcía708@yahoo.com,+573025547261,14.0,junior,2026-04-21,entrevista,93.0
8,Juan Pérez,juan.pérez539@example.com,+573111363279,18.0,senior,2026-02-23,rechazado,13.0
9,Lucía Díaz,lucía.díaz787@hotmail.com,+573119244886,11.0,senior,2025-10-12,en_revision,62.0
10,Luis Rodríguez,luis.rodríguez388@gmail.com,+573012947560,10.0,junior,2025-09-17,en_revision,58.0
11,Miguel Torres,miguel.torres236@outlook.com,+573127070778,3.0,mid-level,2026-01-23,entrevista,37.0
12,Isabel Ruiz,isabel.ruiz130@outlook.com,+573012647885,11.0,senior,2026-03-12,entrevista,36.0
13,Isabel Ruiz,isabel.ruiz982@outlook.com,+573072227674,11.0,junior,2025-09-12,aceptado,2.0
14,Isabel Ruiz,isabel.ruiz673@yahoo.com,+573126567452,14.0,mid-level,2026-02-19,aceptado,77.0
15,María García,maría.garcía803@yahoo.com,+573075058650,2.0,senior,2025-06-26,rechazado,57.0
16,Ana Martínez,ana.martínez611@hotmail.com,+573185172042,5.0,entry-level,2025-07-03,en_revision,23.0
17,Isabel Ruiz,isabel.ruiz147@yahoo.com,+573041433883,19.0,senior,2025-12-18,rechazado,17.0
18,Ana Martínez,ana.martínez430@gmail.com,+573033954747,14.0,senior,2026-05-18,aceptado,79.0
19,Ana Martínez,ana.martínez290@yahoo.com,+573061202721,14.0,senior,2026-05-18,rechazado,46.0
20,Carlos López,carlos.lópez651@outlook.com,+573196113176,10.0,senior,2026-03-05,en_revision,77.0
21,Sofía Fernández,sofía.fernández705@hotmail.com,+573128100386,2.0,mid-level,2025-08-09,entrevista,44.0
22,Carlos López,carlos.lópez877@hotmail.com,+573094619671,20.0,junior,2025-12-19,aceptado,2.0
23,Isabel Ruiz,isabel.ruiz150@outlook.com,+573138387923,2.0,entry-level,2026-03-16,aceptado,95.0
24,Pedro Sánchez,pedro.sánchez345@yahoo.com,+573081037773,20.0,senior,2025-08-03,oferta,51.0
25,María García,maría.garcía111@hotmail.com,+573073654875,5.0,junior,2025-12-17,aceptado,70.0
26,Pedro Sánchez,pedro.sánchez382@example.com,+573176297841,5.0,senior,2025-08-19,en_revision,56.0
27,Lucía Díaz,lucía.díaz232@gmail.com,+573078503563,4.0,entry-level,2026-03-27,rechazado,43.0
28,Pedro Sánchez,pedro.sánchez671@yahoo.com,+573017155892,2.0,mid-level,2025-11-28,rechazado,97.0
29,Juan Pérez,juan.pérez335@gmail.com,+573016748730,15.0,senior,2026-01-26,entrevista,47.0
30,Sofía Fernández,sofía.fernández100@gmail.com,+573083536217,10.0,junior,2026-04-28,oferta,14.0
31,Isabel Ruiz,isabel.ruiz994@gmail.com,+573082510199,8.0,entry-level,2025-10-23,en_revision,48.0
32,Pedro Sánchez,pedro.sánchez909@example.com,+573081556476,2.0,entry-level,2026-05-25,oferta,4.0
33,Juan Pérez,juan.pérez131@example.com,+573160984927,12.0,mid-level,2026-03-10,entrevista,53.0
34,Sofía Fernández,sofía.fernández548@example.com,,7.0,senior,2026-03-19,aceptado,3.0
35,Lucía Díaz,lucía.díaz352@yahoo.com,+573133682081,20.0,entry-level,2026-02-09,aceptado,64.0
36,Carlos López,carlos.lópez732@yahoo.com,+573049754255,16.0,entry-level,2025-11-11,entrevista,63.0
37,Carlos López,carlos.lópez555@gmail.com,+573093701236,15.0,mid-level,2025-06-13,rechazado,90.0
